source,source_text_id,source_sentence_id,language_stage,script_type,genre,period,hieroglyphs,mdc,sign_sequence,transliteration_gold,translation,lemma_sequence,upos,glossing,grammar_notes,source_ref,review_status,formula_type,deity,recipient,offering_items,formula_slot,display_sequence,normalized_reading_order,alt_transliterations,variant_writing_note,morphology_note,syntax_note,aesthetic_arrangement_flag
TLA,TLA_EARLIER_3965,S3965,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓈎𓋴𓌠𓂋𓊭𓂋 𓆑 𓅓 𓊃𓏏 <g>G131</g>𓈉 𓊿𓏏𓏏 𓄂𓂝𓌳𓐚 𓋴𓇛𓈖𓆓𓅓𓄣,qrst f m zmyt khrt-ntjr mntt hat-a-maa sndjm-b,qrs.t(ꞽ) =f m z(my).t ẖr.t-nṯr ꞽmn.t(ꞽ).t ḥꜣ.t(ꞽ)-ꜥ-mꜣꜥ snḏm-ꞽb,qrs.t(ꞽ) =f m z(my).t ẖr.t-nṯr ꞽmn.t(ꞽ).t ḥꜣ.t(ꞽ)-ꜥ-mꜣꜥ snḏm-ꞽb,"Er möge bestattet werden in der Begräbnisstätte der westlichen Nekropole, (nämlich) der wirkliche Hatia (Rangtitel) Senedjem-ib.",161940|qrs 10050|=f 400007|m 134780|zmy.t 500066|ẖr.t-nṯr 26150|ꞽmn.tꞽ 850563|ḥꜣ.tꞽ-ꜥ-mꜣꜥ 450119|Snḏm-ꞽb,VERB PRON ADP NOUN NOUN ADJ NOUN PROPN,V\tam-pass:stpr -3sg.m PREP N.m:stc N.f N-adjz:f.sg TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=3965,seed,,,,,,𓈎𓋴𓌠𓂋𓊭𓂋 𓆑 𓅓 𓊃𓏏 <g>G131</g>𓈉 𓊿𓏏𓏏 𓄂𓂝𓌳𓐚 𓋴𓇛𓈖𓆓𓅓𓄣,qrst f m zmyt khrt-ntjr mntt hat-a-maa sndjm-b,,,,,False
TLA,TLA_EARLIER_3966,S3966,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓎟 𓄏𓄏 𓀠 𓋚 𓎟 𓅾 𓉻𓂝𓏛 𓄆𓏏𓏥,nb abdu qai atf nb sndj aa shfytpl,nb ꜥb.DU qꜣi̯ ꜣtf nb snḏ ꜥꜣ šf.(y)t.PL,nb ꜥb.DU qꜣi̯ ꜣtf nb snḏ ꜥꜣ šf.(y)t.PL,"Herr der beiden Hörner, mit hoher Atef-Krone, Herr der Ehrfurcht, groß an Würde,",81650|nb 500827|ꜥb.wꞽ 158990|qꜣ 326|ꜣtf 81650|nb 138740|snḏ 450158|ꜥꜣ 154080|šf.yt,NOUN PROPN ADJ NOUN NOUN NOUN ADJ NOUN,N.m:stc N:du ADJ N.m N.m:stc N.m ADJ N.f,,data/raw/tla_earlier/tla_earlier.parquet#row=3966,seed,,,,,,𓎟 𓄏𓄏 𓀠 𓋚 𓎟 𓅾 𓉻𓂝𓏛 𓄆𓏏𓏥,nb abdu qai atf nb sndj aa shfytpl,,,,,False
TLA,TLA_EARLIER_3967,S3967,Earlier Egyptian,hieroglyphic/hieratic,unknown,Early Dynastic Period,𓄞𓏏 𓇩 𓂓 <g>G200</g>,shdit z ka rkhyt,šdi̯.t ꞽz kꜣ rḫ.yt,šdi̯.t ꞽz kꜣ rḫ.yt,Opfern (in) der Kammer zur Versorgung der Untertanen,158710|šdi̯ 31020|ꞽz 162890|kꜣ 95820|rḫ.yt,VERB NOUN NOUN NOUN,V\inf N.m N.m N.f,,data/raw/tla_earlier/tla_earlier.parquet#row=3967,seed,,,,,,𓄞𓏏 𓇩 𓂓 <g>G200</g>,shdit z ka rkhyt,,,,,False
TLA,TLA_EARLIER_3968,S3968,Earlier Egyptian,hieroglyphic/hieratic,unknown,Predynastic Period,𓅃 𓉘𓇦𓊂,hrw djr,ḥr.w ḏr,ḥr.w ḏr,Horus Djer,400034|Ḥr.w 882281|Ḏr,NOUN PROPN,ROYLN ROYLN,,data/raw/tla_earlier/tla_earlier.parquet#row=3968,seed,,,,,,𓅃 𓉘𓇦𓊂,hrw djr,,,,,False
TLA,TLA_EARLIER_3969,S3969,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓇓𓏏𓅭 𓈖 𓄡𓏏 𓆑 𓋴𓍋 <g>E143</g>𓏏𓅱 𓌨𓎛𓃀 𓉔𓏏𓇋,za-nswt n kht f smr wt-npw khr-habt ht,zꜣ-nswt n ẖ.t =f smr wt.ꞽ-ꞽnp.w ẖr(.ꞽ)-ḥ(ꜣ)b(.t) htꞽ,zꜣ-nswt n ẖ.t =f smr wt.ꞽ-ꞽnp.w ẖr(.ꞽ)-ḥ(ꜣ)b(.t) htꞽ,"Der leibliche Königssohn, Höfling, Balsamierer des Anubis (und) Vorlesepriester Heti.",450223|zꜣ-nswt 78873|n 122080|ẖ.t 10050|=f 135420|smr 51090|wt.ꞽ-Ꞽnp.w 124340|ẖr.ꞽ-ḥꜣb.t 704454|Htꞽ,NOUN ADP NOUN PRON NOUN NOUN NOUN PROPN,TITL PREP N.f:stpr -3sg.m TITL TITL TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=3969,seed,,,,,,𓇓𓏏𓅭 𓈖 𓄡𓏏 𓆑 𓋴𓍋 <g>E143</g>𓏏𓅱 𓌨𓎛𓃀 𓉔𓏏𓇋,za-nswt n kht f smr wt-npw khr-habt ht,,,,,False
TLA,TLA_EARLIER_3970,S3970,Earlier Egyptian,hieroglyphic/hieratic,unknown,Second Intermediate Period,𓇼𓄿𓀢 <g>R118</g>𓀭𓅃 𓈖𓆱𓐍𓏏𓀜 𓇋𓋔 𓄂𓂝 𓅓𓂋𓊹<g>O285A</g>𓏏𓉐 𓇓𓏏𓈖𓅭 𓋭𓊃𓅱 𓃛𓂝𓇋𓇋 𓈖 𓍋𓃀𓈋𓊖 𓎢𓅱𓅓𓋴𓀀 𓆓𓂧 𓆑,dwa mnw-hr nkht n hat-a m-r-hwt-ntjr za-nswt tjsw wayt n abdjw kwms djd f,dwꜣ mnw-ḥr nḫt ꞽn ḥꜣ.tꞽ-ꜥ (ꞽ)m(.ꞽ)-r(ʾ)-ḥw.t-nṯr zꜣ-nswt ṯs.w ꞽwꜥ.y(t) n ꜣbḏ.w kwms ḏd =f,dwꜣ mnw-ḥr nḫt ꞽn ḥꜣ.tꞽ-ꜥ (ꞽ)m(.ꞽ)-r(ʾ)-ḥw.t-nṯr zꜣ-nswt ṯs.w ꞽwꜥ.y(t) n ꜣbḏ.w kwms ḏd =f,"Anbeten des Min-Horus-der-Starke durch den Hatia, Vorsteher des Tempels, Königssohn und Befehlshaber der Garnison von Abydos, Kumes, wobei er sagt:",177930|dwꜣ 401130|Mnw-Ḥr.w 87580|nḫt 26660|ꞽn 100520|ḥꜣ.tꞽ-ꜥ 550001|ꞽm.ꞽ-rʾ-ḥw.t-nṯr 450223|zꜣ-nswt 177110|ṯꜣz.w 22440|ꞽwꜥ.yt 79800|n.ꞽ 103|Ꜣbḏ.w 860747|Kwms 185810|ḏd 10050|=f,VERB PROPN NOUN ADP NOUN NOUN NOUN NOUN NOUN ADJ PROPN PROPN VERB PRON,V\inf DIVN N.m PREP TITL TITL TITL N.m:stc N PREP-adjz:m.sg TOPN PERSN V\tam.act:stpr -3sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=3970,seed,,,,,,𓇼𓄿𓀢 <g>R118</g>𓀭𓅃 𓈖𓆱𓐍𓏏𓀜 𓇋𓋔 𓄂𓂝 𓅓𓂋𓊹<g>O285A</g>𓏏𓉐 𓇓𓏏𓈖𓅭 𓋭𓊃𓅱 𓃛𓂝𓇋𓇋 𓈖 𓍋𓃀𓈋𓊖 𓎢𓅱𓅓𓋴𓀀 𓆓𓂧 𓆑,dwa mnw-hr nkht n hat-a m-r-hwt-ntjr za-nswt tjsw wayt n abdjw kwms djd f,,,,,False
TLA,TLA_EARLIER_3971,S3971,Earlier Egyptian,hieroglyphic/hieratic,unknown,Second Intermediate Period,𓇋𓏲 𓆑 𓂋𓐍𓏛 𓋭𓊃𓍢𓂡 𓁶𓏤 𓎛𓋴𓈎𓏴𓂡,w f rkh tjas tp hsq,ꞽw =f rḫ ṯ(ꜣ)s tp ḥsq,ꞽw =f rḫ ṯ(ꜣ)s tp ḥsq,"Er weiß, einen Kopf, der abgeschnitten ist, (auch) wieder anzusetzen.",851515|ꞽw 10050|=f 852475|rḫ 176800|ṯꜣz 170860|tp 110200|ḥsq,PART PRON VERB VERB NOUN VERB,AUX:stpr -3sg.m V\res-3sg.m V\inf N.m V\ptcp.pass.m.sg,,data/raw/tla_earlier/tla_earlier.parquet#row=3971,seed,,,,,,𓇋𓏲 𓆑 𓂋𓐍𓏛 𓋭𓊃𓍢𓂡 𓁶𓏤 𓎛𓋴𓈎𓏴𓂡,w f rkh tjas tp hsq,,,,,False
TLA,TLA_EARLIER_3972,S3972,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓇋𓅱 𓃹𓈖 𓅨𓂋 𓇋𓏏𓆑𓀀 𓅓 𓄿𓉔𓅱𓅪𓏥 𓅐𓏏𓁐 𓄟𓋴𓏏𓁓 𓊵𓏏𓊪 𓎢𓏏𓁐 𓂋 𓋴,w wn wr t m ahw mwt msit htp kt r s,ꞽw wn wr ꞽt m ꜣhw mw.t msi̯.t ḥtp k.t r =s,ꞽw wn wr ꞽt m ꜣhw mw.t msi̯.t ḥtp k.t r =s,"(Denn) es gibt manch einen Vater, der traurig ist (wörtl.: groß ist der Vater in Trauerzustand), (und es gibt manch) eine Mutter, die geboren hat, (wobei trotzdem) eine andere Frau zufriedener ist als sie.",21881|ꞽw 46050|wnn 47271|wr 32820|ꞽtꞽ 64362|m 174|ꜣh.w 69040|mw.t 74950|msi̯ 111230|ḥtp 400645|ky 91904|r 10090|=s,PART VERB ADJ NOUN ADP NOUN NOUN VERB VERB NOUN ADP PRON,PTCL V\tam.act ADJ N.m PREP N.m N.f V\ptcp.act.f.sg V\tam.act ADJ:f.sg PREP:stpr -3sg.f,,data/raw/tla_earlier/tla_earlier.parquet#row=3972,seed,,,,,,𓇋𓅱 𓃹𓈖 𓅨𓂋 𓇋𓏏𓆑𓀀 𓅓 𓄿𓉔𓅱𓅪𓏥 𓅐𓏏𓁐 𓄟𓋴𓏏𓁓 𓊵𓏏𓊪 𓎢𓏏𓁐 𓂋 𓋴,w wn wr t m ahw mwt msit htp kt r s,,,,,False
TLA,TLA_EARLIER_3973,S3973,Earlier Egyptian,hieroglyphic/hieratic,unknown,Early Dynastic Period,𓉐𓌋,pr-hdj,pr-ḥḏ,pr-ḥḏ,Schatzhaus,60780|pr-ḥḏ,NOUN,N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=3973,seed,,,,,,𓉐𓌋,pr-hdj,,,,,False
TLA,TLA_EARLIER_3974,S3974,Earlier Egyptian,hieroglyphic/hieratic,unknown,Early Dynastic Period,𓉘𓋞𓉜𓊖,hwt-nbw,ḥw.t-nbw,ḥw.t-nbw,Hatnub,99900|Ḥw.t-nbw,PROPN,TOPN,,data/raw/tla_earlier/tla_earlier.parquet#row=3974,seed,,,,,,𓉘𓋞𓉜𓊖,hwt-nbw,,,,,False
TLA,TLA_EARLIER_3975,S3975,Earlier Egyptian,hieroglyphic/hieratic,unknown,Early Dynastic Period,𓉘𓋞𓉜𓊖,hwt-nbw,ḥw.t-nbw,ḥw.t-nbw,Hatnub,99900|Ḥw.t-nbw,PROPN,TOPN,,data/raw/tla_earlier/tla_earlier.parquet#row=3975,seed,,,,,,𓉘𓋞𓉜𓊖,hwt-nbw,,,,,False
TLA,TLA_EARLIER_3976,S3976,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓈟𓏏 𓆑 𓌸𓂋𓅱𓏏𓈖𓋴,hmt f mrwt-ns,ḥm.t =f mrw.t=(ꞽ)-n=s,ḥm.t =f mrw.t=(ꞽ)-n=s,Seine Frau Meruti-enes.,104730|ḥm.t 10050|=f 713072|Mrw.t-n=s,NOUN PRON PROPN,N.f:stpr -3sg.m PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=3976,seed,,,,,,𓈟𓏏 𓆑 𓌸𓂋𓅱𓏏𓈖𓋴,hmt f mrwt-ns,,,,,False
TLA,TLA_EARLIER_3977,S3977,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓅓 𓉐𓂋𓍘𓇋 𓈖 𓎡 𓊤𓐍𓂋𓃭,m prit n k khrw,m pri̯.tꞽ n =k ḫrw,m pri̯.tꞽ n =k ḫrw,"Komm, es wird dir geopfert.",67770|mꞽ 400613|pri̯-ḫrw 400055|n 10110|=k 120010|ḫrw,VERB VERB ADP PRON NOUN,V\imp.sg V\tam-pass PREP:stpr -2sg.m N,,data/raw/tla_earlier/tla_earlier.parquet#row=3977,seed,,,,,,𓅓 𓉐𓂋𓍘𓇋 𓈖 𓎡 𓊤𓐍𓂋𓃭,m prit n k khrw,,,,,False
TLA,TLA_EARLIER_3978,S3978,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓅓𓂝 𓎢 𓃀𓂝𓎛𓆜𓀁 𓂋𓈖 𓀀 𓅓𓂝 𓎢 𓂋 𓊃𓏏𓈞𓏏𓁐 𓆓𓂧 𓎼𓂋𓍅𓀁 𓂋 𓋴 𓈖 𓅷𓄿𓇋𓇋𓂺𓀀,m k bah rn m-a k r st-hmt djd grg r s n tjay,m =k bꜥḥ rn =ꞽ m-ꜥ =k r s.t-ḥm.t ḏd grg r =s n ṯꜣy,m =k bꜥḥ rn =ꞽ m-ꜥ =k r s.t-ḥm.t ḏd grg r =s n ṯꜣy,"Siehe, anrüchig ist mein Name deinetwegen,
mehr als (der) einer Frau, nachdem dem Ehemann (oder: wegen eines Mannes) über sie eine Lüge erzählt worden ist.",64440|m 10110|=k 55080|bꜥḥi̯ 94700|rn 10030|=ꞽ 64560|m-ꜥ 10110|=k 91904|r 125370|z.t-ḥm.t 185810|ḏd 168040|grg 91903|r 10090|=s 400055|n 174240|ṯꜣ.y,PART PRON VERB NOUN PRON ADP PRON ADP NOUN VERB NOUN ADP PRON ADP NOUN,PTCL:stpr -2sg.m V\ptcp.act.m.sg N.m:stpr -1sg PREP:stpr -2sg.m PREP N.f V\tam.pass N.m PREP:stpr -3sg.f PREP N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=3978,seed,,,,,,𓅓𓂝 𓎢 𓃀𓂝𓎛𓆜𓀁 𓂋𓈖 𓀀 𓅓𓂝 𓎢 𓂋 𓊃𓏏𓈞𓏏𓁐 𓆓𓂧 𓎼𓂋𓍅𓀁 𓂋 𓋴 𓈖 𓅷𓄿𓇋𓇋𓂺𓀀,m k bah rn m-a k r st-hmt djd grg r s n tjay,,,,,False
TLA,TLA_EARLIER_3979,S3979,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓇋𓏎𓈖 𓈖 𓎡 𓃀𓅬 𓌢𓌢𓏏 𓎡 𓇋𓂋𓐜 𓎡 𓊨𓏏 𓅱𓏏 𓎛𓈖𓂝 𓉠,nin n k gbb sntdu k r-gs k ast tw hna nbt-hwt,ꞽni̯.(n) n =k gbb sn.t.DU =k ꞽr-gs =k (ꜣ)s.t tw ḥnꜥ nb.t-ḥw(.t),ꞽni̯.(n) n =k gbb sn.t.DU =k ꞽr-gs =k (ꜣ)s.t tw ḥnꜥ nb.t-ḥw(.t),Geb hat dir deine beiden Schwestern an deine Seite gebracht - Isis ist das und Nephthys.,26870|ꞽni̯ 400055|n 10110|=k 167010|Gbb 136260|sn.t 10110|=k 92390|r-gs 10110|=k 271|Ꜣs.t 851261|tw 550300|ḥnꜥ 82260|Nb.t-ḥw.t,VERB ADP PRON PROPN NOUN PRON ADP PRON PROPN PRON ADP PROPN,V\tam.act-ant PREP:stpr -2sg.m DIVN N.f:du:stpr -2sg.m PREP:stpr -2sg.m DIVN dem.f.sg PREP DIVN,,data/raw/tla_earlier/tla_earlier.parquet#row=3979,seed,,,,,,𓇋𓏎𓈖 𓈖 𓎡 𓃀𓅬 𓌢𓌢𓏏 𓎡 𓇋𓂋𓐜 𓎡 𓊨𓏏 𓅱𓏏 𓎛𓈖𓂝 𓉠,nin n k gbb sntdu k r-gs k ast tw hna nbt-hwt,,,,,False
TLA,TLA_EARLIER_3980,S3980,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓇋𓈖𓆓𓐩 𓆑 𓍿𓅱 𓅓 𓂋𓈖 𓆑 𓈖 𓅃 𓅭𓈖𓐩𓇋𓏏𓆑,:ndj f tjw m rn f n hrw za-ndj-tf,ꞽ:nḏ =f ṯw m rn =f n(.ꞽ) ḥr.w zꜣ-nḏ-ꞽt(ꞽ)=f,ꞽ:nḏ =f ṯw m rn =f n(.ꞽ) ḥr.w zꜣ-nḏ-ꞽt(ꞽ)=f,"Er soll dich schützen in seinem Namen 'Horus, der Sohn, der seinen Vater schützt'.",90940|nḏ 10050|=f 174900|ṯw 64362|m 94700|rn 10050|=f 79800|n.ꞽ 107500|Ḥr.w 858521|zꜣ-nḏ-ꞽtꞽ=f,VERB PRON PRON ADP NOUN PRON ADJ PROPN NOUN,V\tam.act:stpr -3sg.m =2sg.m PREP N.m:stpr -3sg.m PREP-adjz:m.sg DIVN DIVN,,data/raw/tla_earlier/tla_earlier.parquet#row=3980,seed,,,,,,𓇋𓈖𓆓𓐩 𓆑 𓍿𓅱 𓅓 𓂋𓈖 𓆑 𓈖 𓅃 𓅭𓈖𓐩𓇋𓏏𓆑,:ndj f tjw m rn f n hrw za-ndj-tf,,,,,False
TLA,TLA_EARLIER_3981,S3981,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓉓𓏒 𓈖 𓇓𓏏𓁶𓌨 𓇓𓏏𓏞𓂝𓏝𓐍𓏏𓆑𓁷𓏤 𓇓𓏏𓏞𓂝𓏝𓋴𓌉 𓅓𓂋𓉐𓏤𓂝𓈙<g>M187</g> 𓇋𓌳𓄪𓐍𓅱 𓇋𓂧<g>D82</g>𓅱,pr-khrw n khr-tp-nswt zkhaw-a-n-nswt-khft-hr shdj-zkhaww-a-nswt m-r-pr-ash makhw dw,pr-ḫrw n ẖr.ꞽ-tp-nswt zẖꜣ.w-ꜥ-n-nswt-ḫft-ḥr sḥḏ-zẖꜣ.ww-ꜥ-nswt (ꞽ)m(.ꞽ)-rʾ-pr-ꜥš ꞽmꜣḫ.w ꞽdw,pr-ḫrw n ẖr.ꞽ-tp-nswt zẖꜣ.w-ꜥ-n-nswt-ḫft-ḥr sḥḏ-zẖꜣ.ww-ꜥ-nswt (ꞽ)m(.ꞽ)-rʾ-pr-ꜥš ꞽmꜣḫ.w ꞽdw,"Ein Totenopfer für den Kammerdiener des Königs, Aktenschreiber des Königs in (dessen) Angesicht, Aktenschreiber des Königs und Vorsteher des Asch-Hauses, den Würdigen Idu.",850238|pr.t-ḫrw 400055|n 450367|ẖr.ꞽ-tp-nswt 450604|zẖꜣ.w-ꜥ-n-nswt-ḫft-ḥr 550047|zẖꜣ.w-ꜥ-n-nswt 853750|ꞽm.ꞽ-rʾ-pr-ꜥš 25090|ꞽmꜣḫ.w 450309|Ꞽdw,NOUN ADP NOUN NOUN NOUN NOUN NOUN PROPN,N.f PREP TITL TITL TITL TITL N.m PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=3981,seed,,,,,,𓉓𓏒 𓈖 𓇓𓏏𓁶𓌨 𓇓𓏏𓏞𓂝𓏝𓐍𓏏𓆑𓁷𓏤 𓇓𓏏𓏞𓂝𓏝𓋴𓌉 𓅓𓂋𓉐𓏤𓂝𓈙<g>M187</g> 𓇋𓌳𓄪𓐍𓅱 𓇋𓂧<g>D82</g>𓅱,pr-khrw n khr-tp-nswt zkhaw-a-n-nswt-khft-hr shdj-zkhaww-a-nswt m-r-pr-ash makhw dw,,,,,False
TLA,TLA_EARLIER_3982,S3982,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓊨𓁹 𓈖𓏏𓋌 𓌇 𓈖 𓎡 𓁹𓅃 𓌳𓁹𓏏𓈖 𓆑 𓐜 𓋴 𓅓𓂝 𓋴𓏏𓈙,wsrw nt m n k rt-hrw matn f gs s m-a stsh,(w)sr(.w) n(ꞽ).t mꞽ n =k ꞽr(.t)-ḥr.w mꜣ.t.n =f gs =s m-ꜥ stš,(w)sr(.w) n(ꞽ).t mꞽ n =k ꞽr(.t)-ḥr.w mꜣ.t.n =f gs =s m-ꜥ stš,"Osiris Neith, nimm dir das Horusauge, dessen (eine) Hälfte er in Seths Hand gesehen hat.",49461|Wsꞽr 702960|Nꞽ.t 67780|mꞽ 400055|n 10110|=k 28410|ꞽr.t-Ḥr.w 66270|mꜣꜣ 10050|=f 168260|gs 10090|=s 64550|m-ꜥ 148520|Stẖ,NOUN PROPN VERB ADP PRON NOUN VERB PRON NOUN PRON ADP PROPN,TITL PERSN V\imp.sg PREP:stpr -2sg.m N.f V\rel.f.sg-ant:stpr -3sg.m N.m:stpr -3sg.f PREP DIVN,,data/raw/tla_earlier/tla_earlier.parquet#row=3982,seed,,,,,,𓊨𓁹 𓈖𓏏𓋌 𓌇 𓈖 𓎡 𓁹𓅃 𓌳𓁹𓏏𓈖 𓆑 𓐜 𓋴 𓅓𓂝 𓋴𓏏𓈙,wsrw nt m n k rt-hrw matn f gs s m-a stsh,,,,,False
TLA,TLA_EARLIER_3983,S3983,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓁶𓏤 𓅓 𓐍𓊃𓃀𓂧𓈒𓏥,tp m khsbd,tp m ḫsbd,tp m ḫsbd,"Die Mumienmaske (der ""Kopf"") sei von Lapislazuli.",170860|tp 400082|m 120700|ḫsbḏ,NOUN ADP NOUN,N.m PREP N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=3983,seed,,,,,,𓁶𓏤 𓅓 𓐍𓊃𓃀𓂧𓈒𓏥,tp m khsbd,,,,,False
TLA,TLA_EARLIER_3984,S3984,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓊪𓊃𓎛𓀁 𓇳𓀭 𓇋𓈖 𓈖𓂝𓅱𓆙 𓋭𓄲,pzh raw n naw tjaz-pkhr,pzḥ rꜥw ꞽn nꜥ.w ṯꜣz-pẖr,pzḥ rꜥw ꞽn nꜥ.w ṯꜣz-pẖr,Re wurde von einer Nau-Schlange gebissen und umgekehrt!,62220|pzḥ 400015|Rꜥw 26660|ꞽn 80510|Nꜥw 177140|ṯꜣz+(wꜣḥ),VERB PROPN ADP PROPN VERB,V\tam.pass DIVN PREP DIVN (undefined),,data/raw/tla_earlier/tla_earlier.parquet#row=3984,seed,,,,,,𓊪𓊃𓎛𓀁 𓇳𓀭 𓇋𓈖 𓈖𓂝𓅱𓆙 𓋭𓄲,pzh raw n naw tjaz-pkhr,,,,,False
TLA,TLA_EARLIER_3985,S3985,Earlier Egyptian,hieroglyphic/hieratic,unknown,Middle Kingdom,𓏏𓇋𓄿𓏲𓄑𓏥 𓊪𓏲 𓈖 𓈞𓏏𓄰,taw pw n dt,tꞽꜣ.w pw n(.ꞽ) ꞽd.t,tꞽꜣ.w pw n(.ꞽ) ꞽd.t,Das sind $tjꜣ$-Schmerzen des Uterus.,169880|tꞽꜣ 59741|pw 79800|n.ꞽ 850291|ꞽd.t,NOUN PRON ADJ NOUN,N dem PREP-adjz:m.sg N.f,,data/raw/tla_earlier/tla_earlier.parquet#row=3985,seed,,,,,,𓏏𓇋𓄿𓏲𓄑𓏥 𓊪𓏲 𓈖 𓈞𓏏𓄰,taw pw n dt,,,,,False
TLA,TLA_EARLIER_3986,S3986,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓈖 𓍿𓅱𓏏 𓇋𓋴 𓊃𓇋 <g>(unidentified)</g>𓅓 𓅭 𓊃𓇋𓏏 <g>(unidentified)</g>𓏏 𓄟𓅱 𓊃𓇋𓏏 𓅡<g>M46B</g>𓈎𓏏 𓋴𓈖𓅱𓈎𓂒 𓆑𓂧𓏏𓏤𓏤𓏤𓏤 𓍯𓊪𓏏,n tjwt s z km za zt kmt msiw zt baqt snqw fdt wapt,n ṯwt ꞽs zꞽ km zꜣ zꞽ.t km.t msi̯.w zꞽ.t bꜣq.t snq.w fd.t wꜣp.t,n ṯwt ꞽs zꞽ km zꜣ zꞽ.t km.t msi̯.w zꞽ.t bꜣq.t snq.w fd.t wꜣp.t,"Denn du bist ja der schwarze Widder, Sohn des schwarzen Schafs, den das helle Schaf geboren hat, den vier $wꜣp.t$-Schafe gesäugt haben.",852258|n 175050|ṯwt 850804|ꞽs 138880|zr 401218|km 125510|zꜣ 138900|zr.t 401218|km 74950|msi̯ 138900|zr.t 53730|bꜣq 138280|snq 850571|ꞽfd.w 42850|wꜣp.t,ADP PRON PART NOUN ADJ NOUN NOUN ADJ VERB NOUN VERB VERB NUM NOUN,PREP 2sg.m =PTCL N.m ADJ:m.sg N.m:stc N.f ADJ:f.sg V\rel.m.sg N.f V\ptcp.act.f.sg V\rel.m.sg NUM N.f,,data/raw/tla_earlier/tla_earlier.parquet#row=3986,seed,,,,,,𓈖 𓍿𓅱𓏏 𓇋𓋴 𓊃𓇋 <g>(unidentified)</g>𓅓 𓅭 𓊃𓇋𓏏 <g>(unidentified)</g>𓏏 𓄟𓅱 𓊃𓇋𓏏 𓅡<g>M46B</g>𓈎𓏏 𓋴𓈖𓅱𓈎𓂒 𓆑𓂧𓏏𓏤𓏤𓏤𓏤 𓍯𓊪𓏏,n tjwt s z km za zt kmt msiw zt baqt snqw fdt wapt,,,,,False
TLA,TLA_EARLIER_3987,S3987,Earlier Egyptian,hieroglyphic/hieratic,unknown,Old Kingdom,𓉐𓉻𓅓𓂋𓊨𓏏 𓋴𓌉𓏃𓏏𓈙 𓉐𓋴𓍋 𓌸𓂋𓂋𓎟𓆑 𓇋𓏏𓇋𓇋,m-r-st-n-pr-aa shdj-khntw-sh smr-pr mrrw-nbf ty,(ꞽ)m(.ꞽ)-rʾ-s.t-(n-)pr-ꜥꜣ sḥḏ-ḫnt.w-š smr-pr mrr.w-nb=f ꞽty,(ꞽ)m(.ꞽ)-rʾ-s.t-(n-)pr-ꜥꜣ sḥḏ-ḫnt.w-š smr-pr mrr.w-nb=f ꞽty,"Der Vorsteher der Stätte des Palastes und Aufseher der Chentuschi (Pächter), Freund des Hauses, der von seinem Herrn Geliebte Ity.",851989|ꞽm.ꞽ-rʾ-s.t-n-pr-ꜥꜣ 450181|sḥḏ-ḫnt.ꞽw-š 450578|smr-pr 850763|mrr.w-nb=f 710596|Ꞽty,NOUN NOUN NOUN NOUN PROPN,TITL TITL TITL TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=3987,seed,,,,,,𓉐𓉻𓅓𓂋𓊨𓏏 𓋴𓌉𓏃𓏏𓈙 𓉐𓋴𓍋 𓌸𓂋𓂋𓎟𓆑 𓇋𓏏𓇋𓇋,m-r-st-n-pr-aa shdj-khntw-sh smr-pr mrrw-nbf ty,,,,,False
